"","set","composer","albumID","pieceID","key","chroma","mode","pitchHeight","arPerf","rms","condition","expID"
"1",1,"chopin","chopinAshkenazy1992Deadpan","m0","c",0,"minor",33.6723284442116,0.733487365680126,-25.9,"deadpan",137
"2",1,"chopin","chopinAshkenazy1992Deadpan","M0","C",0,"Major",40.8522727272727,5.82382916767775,-24.6,"deadpan",137
"3",1,"chopin","chopinAshkenazy1992Deadpan","m1","c#",1,"minor",38.7756417918231,8.21523926884371,-25.2,"deadpan",137
"4",1,"chopin","chopinAshkenazy1992Deadpan","M1","Db",1,"Major",45.3149257897899,2.54082254895318,-34.01,"deadpan",137
"5",1,"chopin","chopinAshkenazy1992Deadpan","m10","bb",10,"minor",45.2105530753968,9.59895875701619,-20.41,"deadpan",137
"6",1,"chopin","chopinAshkenazy1992Deadpan","M10","Bb",10,"Major",41.1312686011905,3.4692675263468,-30.4,"deadpan",137
"7",1,"chopin","chopinAshkenazy1992Deadpan","m11","b",11,"minor",46.2185688405797,1.99806437513659,-32.29,"deadpan",137
"8",1,"chopin","chopinAshkenazy1992Deadpan","M11","B",11,"Major",45.688141025641,5.69007263922518,-30.21,"deadpan",137
"9",1,"chopin","chopinAshkenazy1992Deadpan","m2","d",2,"minor",34.6850120091896,6.20329902720993,-19.89,"deadpan",137
"10",1,"chopin","chopinAshkenazy1992Deadpan","M2","D",2,"Major",41.3104166666667,6.91244239631336,-28.24,"deadpan",137
"11",1,"chopin","chopinAshkenazy1992Deadpan","m3","eb",3,"minor",32.46875,8.24742268041237,-20.53,"deadpan",137
"12",1,"chopin","chopinAshkenazy1992Deadpan","M3","Eb",3,"Major",44.16,7.61323369469881,-25.8,"deadpan",137
"13",1,"chopin","chopinAshkenazy1992Deadpan","m4","e",4,"minor",39.8825757575758,1.78047189300859,-37.89,"deadpan",137
"14",1,"chopin","chopinAshkenazy1992Deadpan","M4","E",4,"Major",31.1685039918142,2.83195541954049,-22.38,"deadpan",137
"15",1,"chopin","chopinAshkenazy1992Deadpan","m5","f",5,"minor",42.4411604020979,7.07238797099727,-20,"deadpan",137
"16",1,"chopin","chopinAshkenazy1992Deadpan","M5","F",5,"Major",41.8461880804954,7.14065550190075,-31.71,"deadpan",137
"17",1,"chopin","chopinAshkenazy1992Deadpan","m6","f#",6,"minor",44.669921875,9.83669548511047,-21.74,"deadpan",137
"18",1,"chopin","chopinAshkenazy1992Deadpan","M6","F#",6,"Major",42.3708229657762,1.63721560435838,-35.04,"deadpan",137
"19",1,"chopin","chopinAshkenazy1992Deadpan","m7","g",7,"minor",35.606334841629,6.10583446404342,-16.12,"deadpan",137
"20",1,"chopin","chopinAshkenazy1992Deadpan","M7","G",7,"Major",43.8136904761905,10.5150743448616,-30.14,"deadpan",137
"21",1,"chopin","chopinAshkenazy1992Deadpan","m8","g#",8,"minor",38.1984504399586,8.0040020010005,-19.94,"deadpan",137
"22",1,"chopin","chopinAshkenazy1992Deadpan","M8","Ab",8,"Major",42.0422771672771,3.63168646440191,-27.02,"deadpan",137
"23",1,"chopin","chopinAshkenazy1992Deadpan","m9","a",9,"minor",31.0322916666667,1.98998974853766,-34.26,"deadpan",137
"24",1,"chopin","chopinAshkenazy1992Deadpan","M9","A",9,"Major",43.7267097902098,0.979208584842388,-38.02,"deadpan",137
"25",1,"bach","bachAshkenazy2006Deadpan","m0","c",0,"minor",39.8203125,7.76935284296819,-21.49,"deadpan",142
"26",1,"bach","bachAshkenazy2006Deadpan","M0","C",0,"Major",44.0952380952381,3.72667362953241,-37.39,"deadpan",142
"27",1,"bach","bachAshkenazy2006Deadpan","m1","c#",1,"minor",43.0660297535722,2.16210789761214,-33.07,"deadpan",142
"28",1,"bach","bachAshkenazy2006Deadpan","M1","C#",1,"Major",45.3645833333333,9.57966764418377,-24.32,"deadpan",142
"29",1,"bach","bachAshkenazy2006Deadpan","m10","bb",10,"minor",48.0860359768908,1.72396942983914,-28.41,"deadpan",142
"30",1,"bach","bachAshkenazy2006Deadpan","M10","Bb",10,"Major",35.0567674512987,10.9744148067501,-24.69,"deadpan",142
"31",1,"bach","bachAshkenazy2006Deadpan","m11","b",11,"minor",43.282196969697,2.17814609877914,-31.26,"deadpan",142
"32",1,"bach","bachAshkenazy2006Deadpan","M11","B",11,"Major",41.6276354841196,7.4836335289267,-23.8,"deadpan",142
"33",1,"bach","bachAshkenazy2006Deadpan","m2","d",2,"minor",37.7169210271318,8.71852376414621,-25.44,"deadpan",142
"34",1,"bach","bachAshkenazy2006Deadpan","M2","D",2,"Major",45.5572916666667,9.96265416628429,-26.2,"deadpan",142
"35",1,"bach","bachAshkenazy2006Deadpan","m3","eb",3,"minor",45.0341082197884,1.00878581532769,-34.99,"deadpan",142
"36",1,"bach","bachAshkenazy2006Deadpan","M3","Eb",3,"Major",43.615385900548,5.43014747693614,-24.36,"deadpan",142
"37",1,"bach","bachAshkenazy2006Deadpan","m4","e",4,"minor",47.0421875,3.53917964393408,-32.17,"deadpan",142
"38",1,"bach","bachAshkenazy2006Deadpan","M4","E",4,"Major",42.8485072848584,3.18713315223465,-28.44,"deadpan",142
"39",1,"bach","bachAshkenazy2006Deadpan","m5","f",5,"minor",41.8232637777485,2.31236338499804,-24.52,"deadpan",142
"40",1,"bach","bachAshkenazy2006Deadpan","M5","F",5,"Major",39.3081974637681,8.01922978571065,-20.34,"deadpan",142
"41",1,"bach","bachAshkenazy2006Deadpan","m6","f#",6,"minor",42.366973269571,6.57606032848348,-18.98,"deadpan",142
"42",1,"bach","bachAshkenazy2006Deadpan","M6","F#",6,"Major",44.4645337301587,4.47726982518793,-23.38,"deadpan",142
"43",1,"bach","bachAshkenazy2006Deadpan","m7","g",7,"minor",43.4945503616764,2.97944734967528,-25.87,"deadpan",142
"44",1,"bach","bachAshkenazy2006Deadpan","M7","G",7,"Major",40.1473805708181,9.67694377173606,-20.98,"deadpan",142
"45",1,"bach","bachAshkenazy2006Deadpan","m8","g#",8,"minor",44.2105263157895,3.01800767390613,-26.91,"deadpan",142
"46",1,"bach","bachAshkenazy2006Deadpan","M8","Ab",8,"Major",47.2421380702631,4.56919567280741,-22.26,"deadpan",142
"47",1,"bach","bachAshkenazy2006Deadpan","m9","a",9,"minor",44.1196084277479,6.47068008841339,-21.02,"deadpan",142
"48",1,"bach","bachAshkenazy2006Deadpan","M9","A",9,"Major",46.9416600157089,5.01806503412284,-21.35,"deadpan",142
"49",1,"bach","bachAshkenazy2006","m0","c",0,"minor",39.8203125,7.76935284296819,-21.49,"expressive",141
"50",1,"bach","bachAshkenazy2006","M0","C",0,"Major",44.0952380952381,3.72667362953241,-37.39,"expressive",141
"51",1,"bach","bachAshkenazy2006","m1","c#",1,"minor",43.0660297535722,2.16210789761214,-33.07,"expressive",141
"52",1,"bach","bachAshkenazy2006","M1","C#",1,"Major",45.3645833333333,9.57966764418377,-24.32,"expressive",141
"53",1,"bach","bachAshkenazy2006","m10","bb",10,"minor",48.0860359768908,1.72396942983914,-28.41,"expressive",141
"54",1,"bach","bachAshkenazy2006","M10","Bb",10,"Major",35.0567674512987,10.9744148067501,-24.69,"expressive",141
"55",1,"bach","bachAshkenazy2006","m11","b",11,"minor",43.282196969697,2.17814609877914,-31.26,"expressive",141
"56",1,"bach","bachAshkenazy2006","M11","B",11,"Major",41.6276354841196,7.4836335289267,-23.8,"expressive",141
"57",1,"bach","bachAshkenazy2006","m2","d",2,"minor",37.7169210271318,8.71852376414621,-25.44,"expressive",141
"58",1,"bach","bachAshkenazy2006","M2","D",2,"Major",45.5572916666667,9.96265416628429,-26.2,"expressive",141
"59",1,"bach","bachAshkenazy2006","m3","eb",3,"minor",45.0341082197884,1.00878581532769,-34.99,"expressive",141
"60",1,"bach","bachAshkenazy2006","M3","Eb",3,"Major",43.615385900548,5.43014747693614,-24.36,"expressive",141
"61",1,"bach","bachAshkenazy2006","m4","e",4,"minor",47.0421875,3.53917964393408,-32.17,"expressive",141
"62",1,"bach","bachAshkenazy2006","M4","E",4,"Major",42.8485072848584,3.18713315223465,-28.44,"expressive",141
"63",1,"bach","bachAshkenazy2006","m5","f",5,"minor",41.8232637777485,2.31236338499804,-24.52,"expressive",141
"64",1,"bach","bachAshkenazy2006","M5","F",5,"Major",39.3081974637681,8.01922978571065,-20.34,"expressive",141
"65",1,"bach","bachAshkenazy2006","m6","f#",6,"minor",42.366973269571,6.57606032848348,-18.98,"expressive",141
"66",1,"bach","bachAshkenazy2006","M6","F#",6,"Major",44.4645337301587,4.47726982518793,-23.38,"expressive",141
"67",1,"bach","bachAshkenazy2006","m7","g",7,"minor",43.4945503616764,2.97944734967528,-25.87,"expressive",141
"68",1,"bach","bachAshkenazy2006","M7","G",7,"Major",40.1473805708181,9.67694377173606,-20.98,"expressive",141
"69",1,"bach","bachAshkenazy2006","m8","g#",8,"minor",44.2105263157895,3.01800767390613,-26.91,"expressive",141
"70",1,"bach","bachAshkenazy2006","M8","Ab",8,"Major",47.2421380702631,4.56919567280741,-22.26,"expressive",141
"71",1,"bach","bachAshkenazy2006","m9","a",9,"minor",44.1196084277479,6.47068008841339,-21.02,"expressive",141
"72",1,"bach","bachAshkenazy2006","M9","A",9,"Major",46.9416600157089,5.01806503412284,-21.35,"expressive",141
"73",1,"chopin","chopinAshkenazy1992","m0","c",0,"minor",33.6723284442116,0.733483827804276,-25.9,"expressive",155
"74",1,"chopin","chopinAshkenazy1992","M0","C",0,"Major",40.8522727272727,5.82362408352477,-24.6,"expressive",155
"75",1,"chopin","chopinAshkenazy1992","m1","c#",1,"minor",38.7756417918231,8.21548413838712,-25.2,"expressive",155
"76",1,"chopin","chopinAshkenazy1992","M1","Db",1,"Major",45.3149257897899,2.54079483283375,-34.01,"expressive",155
"77",1,"chopin","chopinAshkenazy1992","m10","bb",10,"minor",45.2105530753968,9.59869848156185,-20.41,"expressive",155
"78",1,"chopin","chopinAshkenazy1992","M10","Bb",10,"Major",41.1312686011905,3.46921963709229,-30.4,"expressive",155
"79",1,"chopin","chopinAshkenazy1992","m11","b",11,"minor",46.2185688405797,1.99804471389605,-32.29,"expressive",155
"80",1,"chopin","chopinAshkenazy1992","M11","B",11,"Major",45.688141025641,5.68996329675822,-30.21,"expressive",155
"81",1,"chopin","chopinAshkenazy1992","m2","d",2,"minor",34.6850120091896,6.20317607474246,-19.89,"expressive",155
"82",1,"chopin","chopinAshkenazy1992","M2","D",2,"Major",41.3104166666667,6.91276745826475,-28.24,"expressive",155
"83",1,"chopin","chopinAshkenazy1992","m3","eb",3,"minor",32.46875,8.24735841411343,-20.53,"expressive",155
"84",1,"chopin","chopinAshkenazy1992","M3","Eb",3,"Major",44.16,7.61348990405273,-25.8,"expressive",155
"85",1,"chopin","chopinAshkenazy1992","m4","e",4,"minor",39.8825757575758,1.94994179278231,-37.89,"expressive",155
"86",1,"chopin","chopinAshkenazy1992","M4","E",4,"Major",31.1685039918142,2.83198416524983,-22.38,"expressive",155
"87",1,"chopin","chopinAshkenazy1992","m5","f",5,"minor",42.4411604020979,7.07227931723171,-20,"expressive",155
"88",1,"chopin","chopinAshkenazy1992","M5","F",5,"Major",41.8461880804954,7.14065217467275,-31.71,"expressive",155
"89",1,"chopin","chopinAshkenazy1992","m6","f#",6,"minor",44.669921875,9.83659692222974,-21.74,"expressive",155
"90",1,"chopin","chopinAshkenazy1992","M6","F#",6,"Major",42.3708229657762,1.63722356890159,-35.04,"expressive",155
"91",1,"chopin","chopinAshkenazy1992","m7","g",7,"minor",35.606334841629,6.10579518405913,-16.12,"expressive",155
"92",1,"chopin","chopinAshkenazy1992","M7","G",7,"Major",43.8136904761905,10.5152956868064,-30.14,"expressive",155
"93",1,"chopin","chopinAshkenazy1992","m8","g#",8,"minor",38.1984504399586,8.00387186545268,-19.94,"expressive",155
"94",1,"chopin","chopinAshkenazy1992","M8","Ab",8,"Major",42.0422771672771,3.63167836450946,-27.02,"expressive",155
"95",1,"chopin","chopinAshkenazy1992","m9","a",9,"minor",31.0322916666667,1.98996063288214,-34.26,"expressive",155
"96",1,"chopin","chopinAshkenazy1992","M9","A",9,"Major",43.7267097902098,0.979205904252989,-38.02,"expressive",155
